step	accumulated_step	loss	perplexity	ttt_step_time	score_seq_time	eval_step_time	plddt	tm_score	lddt
0	0			7.152557373046875e-07	0.0	0.40012335777282715	52.679508209228516		0.32813576964702795
1	64	2.740234375		3.930312156677246	0.0	0.39893317222595215	49.36638259887695		0.29470560599082324
2	128	2.724609375		3.931694507598877	0.0	0.3981761932373047	44.32090759277344		0.3928790945681163
3	192	2.173828125		3.9439237117767334	0.0	0.3974494934082031	66.8984375		0.7613610563348686
4	256	2.201171875		3.9863598346710205	0.0	0.39905333518981934	70.11817932128906		0.7707650952203337
5	320	2.443359375		3.9994704723358154	0.0	0.39912891387939453	62.38886260986328		0.7055360754010077
6	384	2.009765625		3.9966909885406494	0.0	0.39800310134887695	68.75433349609375		0.7501065641358284
7	448	1.7646484375		3.991511821746826	0.0	0.39844751358032227	64.65689849853516		0.455343822454359
8	512	1.7734375		3.988708019256592	0.0	0.39815831184387207	70.70343017578125		0.5521263836677924
9	576	1.7177734375		3.9588472843170166	0.0	0.4000742435455322	69.2625732421875		0.7628025573931707
10	640	1.6005859375		3.9723827838897705	0.0	0.3980858325958252	67.31847381591797		0.5780864902162713
11	704	1.779296875		3.9795589447021484	0.0	0.3970813751220703	83.24458312988281		0.9593503124923941
12	768	1.6025390625		3.9758427143096924	0.0	0.39687395095825195	58.59326171875		0.5606440365228564
13	832	1.779296875		4.004132270812988	0.0	0.3963766098022461	80.60197448730469		0.9076949030555795
14	896	1.3251953125		3.9850432872772217	0.0	0.3986203670501709	64.95225524902344		0.7038395438841715
15	960	1.380859375		3.9982290267944336	0.0	0.3975796699523926	77.40027618408203		0.8035945684867144
16	1024	1.4453125		3.988428831100464	0.0	0.3980069160461426	86.83374786376953		0.9858894411820851
17	1088	1.537109375		4.001771450042725	0.0	0.39913129806518555	62.26842498779297		0.6052311269461764
18	1152	1.642578125		3.973069190979004	0.0	0.3986067771911621	85.78649139404297		0.9743095969704233
19	1216	0.84619140625		3.987825632095337	0.0	0.3977336883544922	80.70541381835938		0.7894093511716156
20	1280	1.1083984375		3.9862842559814453	0.0	0.3988516330718994	85.33998107910156		0.9410339625390617
